date,open,high,low,close,adjclose,volume
2018-08-22,214.1,216.36,213.84,215.05,210.63,18965930
2018-08-23,214.65,217.05,214.6,215.49,211.061,18505780
2018-08-24,216.6,216.9,215.11,216.16,211.717,18457720
2018-08-27,217.15,218.74,216.33,217.94,213.461,20400770
2018-08-28,219.01,220.54,218.92,219.7,215.185,22751390
2018-08-29,220.15,223.49,219.41,222.98,218.397,27074260
2018-08-30,223.25,228.26,222.4,225.03,220.405,48696960
2018-08-31,226.51,228.87,226,227.63,222.952,43177540
2018-09-04,228.41,229.18,226.63,228.36,223.667,27363960
2018-09-05,228.99,229.67,225.1,226.87,222.207,33290830
2018-09-06,226.23,227.35,221.3,223.1,218.515,34121240
2018-09-07,221.85,225.37,220.71,221.3,216.752,37418910
2018-09-10,220.95,221.85,216.47,218.33,213.843,39194720
2018-09-11,218.01,224.299,216.56,223.85,219.249,35644510
2018-09-12,224.94,225,219.84,221.07,216.526,49118510
2018-09-13,223.52,228.35,222.57,226.41,221.757,41411350
2018-09-14,225.75,226.84,222.522,223.84,219.239,31801970
2018-09-17,222.15,222.95,217.27,217.88,213.402,36810120
2018-09-18,217.79,221.85,217.12,218.24,213.755,31495630
2018-09-19,218.5,219.62,215.3,218.37,213.882,26869880
2018-09-20,220.24,222.28,219.15,220.03,215.508,26388050
2018-09-21,220.78,221.36,217.29,217.66,213.186,95584080
2018-09-24,216.82,221.26,216.63,220.79,216.252,27581270
2018-09-25,219.75,222.82,219.7,222.19,217.623,22811140
2018-09-26,221,223.75,219.76,220.42,215.89,23430370
2018-09-27,223.82,226.44,223.54,224.95,220.327,29729270
2018-09-28,224.79,225.84,224.02,225.74,221.1,22560440
2018-10-01,227.95,229.42,226.35,227.26,222.589,23171020
2018-10-02,227.25,230,226.63,229.28,224.568,24435010
2018-10-03,230.05,233.47,229.78,232.07,227.3,28540490
2018-10-04,230.78,232.35,226.73,227.99,223.304,31961120
2018-10-05,227.96,228.41,220.58,224.29,219.68,33507770
2018-10-08,222.21,224.8,220.2,223.77,219.171,28784550
2018-10-09,223.64,227.27,222.246,226.87,222.207,26656630
2018-10-10,225.46,226.35,216.05,216.36,211.913,41084070
2018-10-11,214.52,219.5,212.32,214.45,210.042,52902320
2018-10-12,220.42,222.88,216.84,222.11,217.545,39494770
2018-10-15,221.16,221.83,217.27,217.36,212.893,30280450
2018-10-16,218.93,222.99,216.763,222.15,217.584,28802550
2018-10-17,222.3,222.64,219.34,221.19,216.644,22692880
2018-10-18,217.86,219.74,213,216.02,211.58,32389280
2018-10-19,218.06,221.26,217.43,219.31,214.803,32874330
